1 3 5
2 15 4
3 25 5
4 34 6
5 43 6
6 55 4
7 63 4
8 73 5
9 84 5
10 95 5
11 104 4
12 115 5
13 124 3
14 135 6
15 144 5
16 155 6
17 165 5
18 175 3
19 185 4
20 195 5
21 204 6
22 214 5
23 223 6
24 234 6
25 244 4
26 253 4
27 264 3
28 275 5
29 285 4
30 295 5
31 306 5
32 316 6
33 324 5
34 334 4
35 344 3
36 355 6
37 366 5
38 375 5
39 384 5
40 395 6
41 406 5
42 415 4
43 424 5
44 434 5
45 444 4
46 455 5
47 466 4
48 476 3
49 484 4
50 494 5
51 5 16
52 14 15
53 24 13
54 35 15
55 46 14
56 53 13
57 66 15
58 73 13
59 85 14
60 93 15
61 104 14
62 115 15
63 124 14
64 134 14
65 145 14
66 154 16
67 165 15
68 174 15
69 186 15
70 194 15
71 203 15
72 214 14
73 223 14
74 236 14
75 244 14
76 254 14
77 264 13
78 274 15
79 285 15
80 295 15
81 303 13
82 313 14
83 325 15
84 335 13
85 345 14
86 356 14
87 365 14
88 375 16
89 383 14
90 393 14
91 406 14
92 414 15
93 424 14
94 434 15
95 444 14
96 454 16
97 463 13
98 475 14
99 485 13
100 493 14
101 3 25
102 14 26
103 24 25
104 34 23
105 46 25
106 54 24
107 63 25
108 74 24
109 83 24
110 94 24
111 106 25
112 116 23
113 123 24
114 135 24
115 144 23
116 155 24
117 166 24
118 174 25
119 183 25
120 194 25
121 205 26
122 215 23
123 225 26
124 235 23
125 244 24
126 254 24
127 266 24
128 275 23
129 285 26
130 294 26
131 305 24
132 314 25
133 324 23
134 335 25
135 344 25
136 354 24
137 366 25
138 374 24
139 385 26
140 394 24
141 404 24
142 415 24
143 423 24
144 435 26
145 445 25
146 454 25
147 465 25
148 475 26
149 485 25
150 493 24
151 5 34
152 16 35
153 23 34
154 35 36
155 45 36
156 55 36
157 65 35
158 73 34
159 84 34
160 95 34
161 105 34
162 113 33
163 123 33
164 133 36
165 143 34
166 153 33
167 166 33
168 174 34
169 183 35
170 193 36
171 206 35
172 214 36
173 225 36
174 235 35
175 246 34
176 255 33
177 264 36
178 273 35
179 283 35
180 294 34
181 304 36
182 314 33
183 323 35
184 335 34
185 345 35
186 354 34
187 366 35
188 374 34
189 384 34
190 394 34
191 405 33
192 415 34
193 424 33
194 435 35
195 443 35
196 455 34
197 464 35
198 475 36
199 486 34
200 496 35
201 5 45
202 13 46
203 24 46
204 36 44
205 46 44
206 53 45
207 64 45
208 74 45
209 85 43
210 94 46
211 103 44
212 114 44
213 126 43
214 133 43
215 145 43
216 155 43
217 163 43
218 175 45
219 183 43
220 196 45
221 204 43
222 214 45
223 224 45
224 236 44
225 244 45
226 254 46
227 265 44
228 275 45
229 285 44
230 294 45
231 305 44
232 315 45
233 326 44
234 336 45
235 344 43
236 354 43
237 366 43
238 373 44
239 386 44
240 395 44
241 404 43
242 416 45
243 423 43
244 436 44
245 445 44
246 454 45
247 465 43
248 475 44
249 484 44
250 496 45
251 4 53
252 15 53
253 26 54
254 35 55
255 46 56
256 54 56
257 65 54
258 74 55
259 84 55
260 94 54
261 105 56
262 115 55
263 125 54
264 133 54
265 143 54
266 155 54
267 166 56
268 174 54
269 184 56
270 193 56
271 205 56
272 214 53
273 224 53
274 233 56
275 245 56
276 255 54
277 264 56
278 274 54
279 285 54
280 295 53
281 305 53
282 313 53
283 325 56
284 335 53
285 346 53
286 356 56
287 363 56
288 375 55
289 385 53
290 394 54
291 405 56
292 414 55
293 424 55
294 436 54
295 444 55
296 456 53
297 464 53
298 474 53
299 484 56
300 496 55
301 3 64
302 14 64
303 23 63
304 34 64
305 44 66
306 54 63
307 65 65
308 76 64
309 83 64
310 94 65
311 106 66
312 114 64
313 123 64
314 135 63
315 144 65
316 154 65
317 164 63
318 173 63
319 185 64
320 194 63
321 205 64
322 213 64
323 225 65
324 235 63
325 245 65
326 254 63
327 264 66
328 273 63
329 285 66
330 296 64
331 306 64
332 314 65
333 326 66
334 336 64
335 346 66
336 354 63
337 363 64
338 376 65
339 386 63
340 395 64
341 405 64
342 415 65
343 424 65
344 435 64
345 445 63
346 455 65
347 465 65
348 476 63
349 484 64
350 494 66
351 3 76
352 14 74
353 25 75
354 36 74
355 45 74
356 55 76
357 64 74
358 75 76
359 84 76
360 95 76
361 104 74
362 114 75
363 124 75
364 135 73
365 144 75
366 156 74
367 164 74
368 175 75
369 185 75
370 196 76
371 206 75
372 215 74
373 224 76
374 236 75
375 244 74
376 256 76
377 263 75
378 275 73
379 285 75
380 294 73
381 305 76
382 315 74
383 325 73
384 335 74
385 345 75
386 354 76
387 364 75
388 375 74
389 384 74
390 396 75
391 404 74
392 416 76
393 425 75
394 435 74
395 445 75
396 455 74
397 465 74
398 474 75
399 484 75
400 494 75
401 4 85
402 14 84
403 24 84
404 35 86
405 45 85
406 53 84
407 64 84
408 75 86
409 83 85
410 95 83
411 104 86
412 114 86
413 126 85
414 134 85
415 143 85
416 154 84
417 164 84
418 175 84
419 185 85
420 196 84
421 206 84
422 213 84
423 224 85
424 235 84
425 246 85
426 253 84
427 266 84
428 276 85
429 284 84
430 295 84
431 303 85
432 313 84
433 326 86
434 336 83
435 344 85
436 356 84
437 366 85
438 375 85
439 386 83
440 394 84
441 405 83
442 414 83
443 426 84
444 434 84
445 443 85
446 454 84
447 464 84
448 475 84
449 485 85
450 496 85
451 3 95
452 14 94
453 24 94
454 34 96
455 44 94
456 54 94
457 64 94
458 74 95
459 83 94
460 94 95
461 104 95
462 116 96
463 124 96
464 135 95
465 145 93
466 154 93
467 164 93
468 175 95
469 184 95
470 193 96
471 206 95
472 213 94
473 224 96
474 234 95
475 245 93
476 253 95
477 265 96
478 274 94
479 284 94
480 296 95
481 306 95
482 314 95
483 325 96
484 335 94
485 346 96
486 355 95
487 364 95
488 376 95
489 384 95
490 394 95
491 405 93
492 414 95
493 426 96
494 436 95
495 445 95
496 456 93
497 464 94
498 475 96
499 484 93
500 495 96
501 4 106
502 15 106
503 23 106
504 35 106
505 45 106
506 56 103
507 65 104
508 75 105
509 85 104
510 96 105
511 104 106
512 115 105
513 124 106
514 133 104
515 143 103
516 154 104
517 165 104
518 174 103
519 186 103
520 195 105
521 204 103
522 215 105
523 224 105
524 235 106
525 245 103
526 254 104
527 265 104
528 275 103
529 285 106
530 294 105
531 303 103
532 314 105
533 325 106
534 334 105
535 345 105
536 354 103
537 364 103
538 375 104
539 386 104
540 393 106
541 404 104
542 414 104
543 425 106
544 433 103
545 445 105
546 454 103
547 464 105
548 475 106
549 485 106
550 495 105
551 4 114
552 14 115
553 23 115
